Indonesia,Javanese,Alphabet
dikau,"kowe (saburine –kan, akan).",d
dikir,dhikir.,d
dikit,"berdikit-dikit: saka sêthithik, sedikit: [sedi...]
--- 49 ---",d
dil,ar. dolanan nganggo bal lan tampèl.,d
dilam,dilêm.,d
dim,dim (1/12 aki).,d
dimpit,"dhèmpèt, pèpèd-pèpèdan.",d
din,agama.,d
dina,"nistha, asor; kc. dena.",d
dinar,dinar.,d
dinding,"aling-aling (gêdhèg, pagêr, tembok lsp), êlêt-êlêt; mendinding: ngêlêt-êlêti, misah; didinding: ditrapi aling-aling ut. êlêt-êlêt (pagêr, gêdhèg lsp.).",d
dingin,"adhêm, anyêp; kedinginan: kadhêmên, mambu dhêm.",d
dingin tangan,yèn nênandur ut. nênambani sarwa bêcik.,d
dingkis,ar. iwak sagara.,d
dinihari,bangun esuk (jam 4.30).,d
dipan,dipan.,d
dipati,adipati.,d
diraja,ratu linuwih.,d
dirgahayu,1 dawa umure; 2 dianggo sêsêbutan marang ratu atêgês ingkang minulya.,d
dirham,(ar. dhuwit) dirham.,d
diri,"1 (-ku, -mu, -nya) awakku (mu, -e) dhewe; 2 dhewe, ijèn, up. seorang diri; 3 kanggo nêrangake yèn lesane awake dhewe, up. berhias diri, melarikan diri; berdiri: ngadêg, madêg, didirikan: diêdêgake; (se-) pendiri: (sa) dêdêg; pendirian: kaantêpan, panêmu kang diugêmi; terdiri: madêg, tiba ngadêg.",d
diris,didiris: disirami ut. dikêpyuri banyu.,d
dirus,"didirus: disiram (digrujug, disoki) banyu; mendirus: ndlêdêg, gumrudug têkane, sok-sokan tmr. udan lsp.",d
doa,"donga, sêmbahyangan; berdo'a, meminta do'a: ndêdonga, sêmbahyang, mêmuji.",d
dobi,tukang ngumbahi (pênatu).,d
dobrak,didobrak: dibujat tmr. lawang.,d
dodol,jênang dodol.,d
dodong,wêdhung.,d
dodos,"didodos: didhodhos, digrowongi.",d
dodot,bngs. kêmbên anggon-anggon tlèdhèk.,d
"dogel, dogeng","bukung, tukung.",d
doger,tlèdhèk sunda.,d
dogol,dhungkul (tanpa sungu) tanpa cènggèr.,d
"doha, loha",sêmbahyang mirunggan ing wayah esuk.,d
dokar,dhokar.,d
dokoh,1 bngs. kalung tanggalan. ii dhukuh.,d
dolak-dalik,"mbolak-mbalik, mencla-mencle; didolak-dalikkan: diubat-ubêdake tmr. têtêmbungan lsp.",d
dolat,"bêja, kabêgjan; dolat tuanku: nuwun inggih kc. daulat.",d
domba,wêdhus gèmbèl.,d
dondang,"bandulan (bayi); didondang: dibandul, diiyun.",d
dondon,warna; sedondon: padha warnane.,d
dongak,"ut. mendongak: njongat, ndêngangak.",d
dongeng,"i dongèng (crita). ii mendongeng: nggubêl, ngujêg.",d
dongkang-dangking,kari lunglit (kuru bangêt).,d
dongkol,"nyêkênthung tmr. wrangka, mbêngkêluk tmr. sungu, wungkuk tmr. gêgêr; mendongkol: mangkêl bangêt.",d
dongok,"gêndhêg, buntêk.",d
doreng,"lorèng, lorèk.",d
dorna,(saka pandita durna) tukang ngadu-adu.,d
dorong,"mendorong: mlantrang, njongor, nglojok; didorongkan: dijorogake, dijongorake; disodhokake; terdorong: 1 kêplantrang, kêbanjurên, kêtrucut tmr. gunêm; 2 kêdêdêl (ing karêp, niyat lsp.).",d
dosa,dosa; berbuat dosa: nglakoni dosa.,d
dosin,losin.,d
doyak,ar. iwak sagara.,d
doyan,doyan.,d
dua,"loro; dalam dua: lagi mêtêng; tiada dua: tanpa tandhing, kêluwih-luwih; dua-dua ut. keduanya: sakarone, karo pisan; berdua: wong loro, sakloron; mendua: 1 ngloroni, mindhoni; 2 (-hati) mangro tingal, gojag-gajêg; pendua: kang dianggo rangkêpan (jodho lsp.); diperdua: dirangkêp.",d
duai,(ipar duai): ipe.,d
dubalang,"1 gêgêdhug; 2 upas, kongkonan lan panjaga.
--- 50 ---",d
dubur,dubur.,d
dudu,mendudu: katut mèlu.,d
duduk,"1 linggih, dêdunung, manggon; 2 dunung, lungguhing prakara, dhodhok sèlèhe; 3 mênêb; 4 pacangan; diduduki: 1 (ut. dikeduduki) dilinggihi, didunungi, diênggoni; 2 dijègi, dibroki (mungsuh lsp.); didudukkan: 1 dilinggihake, dipapanake, disèlèhake; 2 diomah-omahake; penduduk: wong kang padha dêdunung (ing kutha, nagara lsp); kedudukan: 1 padunungan, papan kang diênggoni; 2 dunung, prênah; 3 pilungguh (pangkat); 4 dhodhok sèlèhing prakara (pangkat); 5 palinggihan, lênggah (papaning pangrèhing pakumpulan lsp); terduduk: 1 mênêb; 2 tiba lungguh.",d
duduk perut,mêtêng.,d
duga,diduga: 1 dijajagi; 2 diduga; dikira.,d
dugal,"munêg-munêg, mungkug-mungkug.",d
dugang,didugang: dikêlat (dicancang) supaya aja rubuh.,d
duhung,kêris.,d
duit,dhuwit.,d
duka (-cita),"susah, sêdhih.",d
dukan,"warung, bango.",d
dukana,"dhêmênan (bandrèk, jina lsp).",d
duku,dhuku.,d
dukuh,"dhukuh, desa.",d
dukun,dhukun.,d
dukung,"didukung (belakang): digendhong; didukung ambin: diêmban; didukung ampu: dibopong; didukung kelek: dicangklèk, diêmban lan dicangklèk.",d
dukut,sukêt.,d
"dulah, dulat","tandhu, joli.",d
dulang,"dhulang, tembor.",d
duli,"gêdibal, lêbuning sikil; duli baginda (-yang dipertuan, -tuanku lsp) sampeyan dalêm.",d
dulu,"dhisik, biyèn; kc. dahulu.",d
dungas,mendungas: nyêrot ambêkan.,d
dungu,"bodho, ora gathekan.",d
dungun,ar. wit.,d
dunia,donya; dunia akhirat: donya ngakerat.,d
duniawi,kadonyan.,d
dupa,"dupa, kutug; pedupaan: padupan.",d
dupak,didupak: didhupak.,d
dura,"1 adoh, kadohan; 2 gorèh atine, sumêlang.",d
durhaka,"mbangkang, mblela, ora manut, kraman; mendurhaka: mblela, ngraman.",d
duri,êri.,d
durian,durèn.,d
durias,duryas (ar. bakal).,d
durja,rai; janjam durja: luh.,d
durjana,durjana (maling lsp).,d
dusi,"mendusi: rèwèl, tansah nangis.",d
dusin,mendusin: nglilir.,d
dusta,"goroh; berbuat dusta, mendusta, berdusta: goroh; didustai: digorohi; didustakan: dipaido.",d
duta,utusan (ing nêgara); kedutaan: panggonan (kantor lsp) utusaning nêgara ing nêgara liya.,d
duta,utusan (ing nêgara).,d
duyun,"berduyun-duyun: sêlur, irit-iritan akèh.",d
duyung,"iwak dhuyung.
e",d
ebam,ar. wadhah kang digawe pursêlin mawa tutup.,e
eban,dieban: dibanting dibabitake.,e
ebang,adan; kc. bang.,e
ebek,"saèm. warana, aling-aling lawang lsp.",e
ebeng,mengebeng: ngibing.,e
ebi,èbi.,e
eceran,jual eceran: adol eceran.,e
edan kasmaran,"kedanan, kêsêngsêm.",e
edap,bngs. tambur; kc. dap.,e
edar,"mengedar: 1 alihan, ngalih, mingsêr ênêre; 2 kêkitêr, mubêng kalangan: beredar(-edar): mubêng kêkalangan, ngumbara, lunga mrana-mrana; edaran: ngalamat ala ut. bêcik; peredaran: ubênging laku.",e
edar-edar,"warana (aling-aling) ditata mubêng têmu gêlang.
--- 51 ---",e
egah,mengegah: mlaku angklung-angklung (amba jangkahe).,e
egung,gong; kc. gung.,e
eja,dieja: dieja; ejaan: tatananing panulis.,e
ejek,"diejek: dipêpoyoki, diiwi-iwi.",e
ejung,jong; kyt. jung.,e
ekonomi,perekonomian: ekonomi.,e
ekor,"1 buntut; 2 ent. perangan kang buri, barisan kang ana ing buri, katêmahaning lêlakon; 3 kanggo wilanganing kewan; mengekor: 1 kaya buntut; 2 tansah tutburi; diekori: tansah dikinthil.",e
"ekor kucing, ekor tupai",ar. sukêt.,e
ekor lipas,buntut urang (rambut ing githok).,e
ekor mata,padoning mata.,e
ekor pari,awangun blimbingan lingir têlu tmr. cundrik lsp.,e
ekor tikus,kikir gilig.,e
"ela, elo",elo.,e
elak,"mengelak: 1 endha, ngendhani; 2 ora manut prentah; dielakkan: ditangkis, diendhani.",e
elang,1 alap-alap; 2 (-ayam) wulung; kc. lang.,e
elat,"lêt, kasèp; kc. lat.",e
elok,"endah, bêcik.",e
elu,"dielu-elukan: dipêthuk, dipapag; kc. alu.",e
"eluk, luk",luk; dieluk(kan): diêluk.,e
"elung, lung","lunglungan, plêngkungan; perelung: peranganing barang kang bundêr.",e
emak,"(ut. ma', mak) êmbok; emak saudara: bok cilik ut. uwa wadon; emak tua (ua): uwa wadon; emak muda (uda); êmbok cilik; emak alang (-tengah, -ngah): bok cilik ut. uwa panêngah; emak ci': êmbok cilik wuragil.",e
emang,pancèn; kc. memang.,e
emas kawin,mas kawin.,e
emas kerajang,grènjèng êmas.,e
emas tempawan,êmas gêmblengan.,e
emas urai,mas las-lasan (murni).,e
"emas, mas","1 êmas; 2 ar. boboting êmas ana 1/10 tail; 3 pawèwèh marang pangantèn wadon; kena emas: olèh rêruba, dibêsêli; diemasi: 1 disêlut êmas; 2 dibêsêli; keemasan: 1 barang-barang kang digawe êmas; 2 pradan; peremasan: barang mas intên.",e
"emat, mat",mati (tmr. dolanan catur).,e
embacang,pakèl.,e
embak,mangsi tionghwa.,e
embal,isih malêm; kc. ambal.,e
embalau,trêmbalo; kc. balau.,e
emban,"ambèn, grita.",e
emban ekor,apus buntut.,e
embara,"mengembara: ngumbara, lêlana; kc. kembara.",e
embarau,lapisaning tembok ing sêgara.,e
embat,diembat: disabêt.,e
embek,gêbêr ut. wrana kanggo aling-aling.,e
ember,èmbèr.,e
embih,1 praean; 2 gêndhuk; seembih: padha rupane tmr. praean.,e
embik,mengembik: 1 nywara êmbèk; 2 mêntul ngêndhêlong tmr. jrambah kayu lsp.,e
embuh(kan),"gêlêm, nayogyani; embuh-embuhkan: sanajana.",e
embun,"1 bun; 2 ing têmbung camboran atêgês lêmbut ut. alus; berembun: ngêbun-êbun (kêkadhar lsp); mengembun: kaya bun, pating jriwut tmr. kuliting wowohan lsp; diembunkan: diêbun-êbunake.",e
embung,anak lanang pambarêp.,e
embus,"1 abab, angining napas; 2 mlayu nggêblas, minggat; mengembus: 1 ndamu, ngababi; 2 lunga nggêblas, bubar mlayu tmr. wadyabala lsp; diembuskan: 1 disêbul, didamu; 2 digusah, diurak-urak; embusan: 1 ububan; 2 sêmprong.",e
emol,"mengemol: mbludhus, nronjol.",e
empang,"blumbang dianggo ngingu iwak. diempang: 1 dipèpèti ut. dipalangi tmr. dalan lsp; 2 dibêndung ut. ditambaki tmr. kali lsp; pengempang: apa-apa kang dianggo mèpèti (pagêr, bêndungan lsp).",e
empang ikan,"suwakan (bêndungan, tambak) dianggo ngingu iwak.",e
empang paya,bêndungan kanggo ngêlêbi sawah.,e
empap,"diempap: 1 diblêgi watu lsp; 2 diênêtake manêt; mengempap: madhêt, manêt, têtêl-têtêlan.",e
empar,"mengempar: kentir malang tmr. prau lsp.
--- 52 ---",e
empas,"diempas(kan): dibanting, ditibakake, disabêtake, dibabitake sêru; mengempas: nêmpuh, nyampyuk tmr. ombak; empasan ombak (gelombang): têmpukaning ombak; empasan daun: gantung siwur (turun kang kapitu).",e
empat,papat.,e
empedal,rêmpêla.,e
empedu,pêru.,e
empelas,wit rêmpêlas.,e
empenak,"(pujuk-): têmbung manis (pangrêmih, pangungrum); diempenak: diêla-êla, ditamani têmbung manis, digumatèni; kc. penak.",e
empik,mengempik: adrêng (sêkung) bangêt.,e
emping,êmping.,e
empis,kewan sing dianggo jontrot.,e
empit,"diempit: dipênêt, diplêpêd.",e
empoh,lubèr mbludag tmr. kali.,e
empos,diempos: diimbu.,e
empu,êmpu; empu tangan (jari): jêmpol; empu kaki: jêmpol sikil.,e
empuk,"1 gapuk, popol tmr. kayu; 2 mêmêl êmpuk tmr. iwak daging; 3 gêmpi, mawur; 4 mbêdhêl tmr. tampar lsp.",e
empuk-ampai,"miyar-miyur, pating pêntiyung.",e
empul,mengempul: kampul-kampul ora bisa maju tmr. prau kataman ombak lsp.,e
empulur,"atining kayu, glugu lsp.",e
empunya,duwe.,e
enak,"enak, kêpenak.",e
enal,nal.,e
enam,"nêm, nênêm.",e
enap,"mengenap: 1 mênêng, mêndha; 2 mênêp.",e
"enau, nau",wit arèn.,e
encang,"diencang: dipadal (dipidak) sêru, diêncot.",e
encer,cuwèr.,e
encik,sêsêbutan marang wong wadon ut. lanang kang rada dhuwur pangkate.,e
endal,mengendal: ngênêt-ênêt (sukêt ing kranjang lsp.).,e
endap,"mengendap: 1 mêndhak ut. ndhêkêm murih ora katon; 2 mêndha tmr. hawa nêpsu, mblêrêt tmr. gêni, mênêb tmr. êndhêg-êndhêg lsp; 3 mugên (ora tau mêtu saka ing omah); endap-endap: wong kang mugên.",e
endas,diendas: dilandhêsake; endasan: landhêsan.,e
enduk,gêndhuk.,e
endung,"mengendung: wadul, adul-adul (tmr. bocah).",e
"engah, engeh","ut. engah-engah, mengah-mengah: kêmpis-kêmpis, mênggèh-mênggèh.",e
enggan,"êmoh, mopo, lênggana, suthik, wêgah.",e
"enggang (-danta, -papan)",manuk rangkok.,e
engkah,"ancur, lim.",e
engkah-engkah,"isih rada mêntah (magêl, mogol lsp.).",e
engkang,mengengkang: mlaku ekar.,e
engkau,kowe.,e
engku,sêsêbutan marang wong kang pantês diurmati.,e
enjak,mengenjak-enjak: nggêdrug-nggêdrug (marga nêpsu lsp).,e
enjal,"mengenjal: 1 mêndal; 2 mêtêl, ndudul, nyuduk.",e
enjelai,jali; kc. jelai.,e
enjih,panjênêngan (tmr. marang wong tuwa).,e
enjut,"mengenjut: jêngkêrat-jêngkêrut, jinjat-jinjit; dienjut: didhèdhèti, dicènèngi, dijongkèng sathithik.",e
entah(kan),embuh; entah-entah: saêmbuh (akèh bangêt).,e
entah-berentah,1 tanpa wilangan; 2 udhêg-udhêg (buyuting buyut).,e
entak,"mengentak: 1 ngambruk nggloso; 2 nanggor dhasar tmr. prau; 3 nggêdrug; dientak-entakkan: 1 digêdrug-gêdrugake; 2 diêntrog-êntrog, digêdhug-gêdhugake tmr. takêran lsp; pengentak: brug (kanggo madhêtake lêmah).",e
enteng,ènthèng.,e
entimun,timun.,e
"enyah, nyah","lunga, minggat; dienyahkan: ditundhung, digusah.",e
"enyak, nyak",dienyakkan: dipadhêtake sarana dibrug lsp.,e
epok,êpok.,e
erak,"bererak, mengerak: 1 pisah karo panunggalane; 2 udhar rênggang tmr. lêkêran tampar lsp; 3 (-sela) madal
--- 53 ---",e
"eram, ram",mengeram: angrêm; dierami: diêngrêmi.,e
erang,irêng sêmu biru.,e
"erang, rang","mengerang: ngrintih, gêrêng-gêrêng lirih.",e
"erat, rat","kiyêng tmr. pawakan, kêncêng ut. singsêt tmr. tali lsp, madhêt ut. atos tmr. lêmah; dierat(kan): 1 dikêncêngake, disingsêti; 2 diênêtake madhêt, ditêtêl madhêt.",e
eret,"bereret: tuntun-tuntunan, dituntun tmr. wong picak lsp; dieret: 1 digèndhèng (ditarik, disèrèt, dicènèng); 2 dituntun tmr. wong picak lsp.",e
erik,"mengerik: ngêrik (mbêngok, sêsambat).",e
"ering, ring",bngs. alap-alap.,e
erong,bngs. cangkir jubung.,e
erong-erong,bolongan pambuwangan banyu ing kapal.,e
erot,"perot, mèncèng.",e
erot-bengot,"pêrat-perot, padha mèncèng.",e
erti,têgês; mengerti: ngrêti; kc. arti.,e
"eru, ru",wit cêmara.,e
es,ès.,e
"esa, sa","sawiji; diesakan: disawijèkake; esa-esaan: ekan, ijèn.",e
esak,sêsêg napase; mengesak: mingsêg-mingsêg.,e
esek,bngs. lara cêkèk.,e
esok,sesuk; esok lusa: 1 besuk êmbèn; 2 êmbèn buri; keesokan harinya: esuke.,e
esot,"mengesot: 1 mlaku ngesot; 2 ent. rindhik bangêt.
f",e
faal,"(ut. paal) panggawe, patrap, kalakuan.",f
faal,"(ut. paal, pal) ngalamat bêcik ut. ala.",f
fadihat,kawirangan.,f
fadilat,"kautaman, kaluwihan.",f
faedah,"(ut. paedah) paedah, piguna.",f
faham,"(ut. paham) 1 surasa, pangrêti; 2 (-akan) ngrêti têmênan marang, paham; salah faham: klèru tampa; difahamkan: dingrêtèkake têmênan.",f
fajar,"(ut. pajar) byar raina, bangun esuk.",f
fakih,"(ut. pakih, pekih) ngulama ahli kawruh agama.",f
fakir,"(ut. pakir, pekir) 1 pêkir, wong kang nglakoni miskin; 2 (ut. alfakir) aku.",f
falak,(ut palak) langit; 'ilmu falak: ngelmu palintangan.,f
"falsafah, falsafat, filsafat",ngèlmu kawicaksanan.,f
fana,"kêna ing rusak, ora langgêng.",f
faraid,"(ut. paraid, peraid) wêwênang bab warisan.",f
farisi,wong parisi.,f
fasal,"(ut. pasal) pasal, bab.",f
fasih,(ut. pasih) pasèh ênggone gunêman ut. maca.,f
fasik,"(ut. pasik) pasèk (duraka, ala, dosa).",f
fatah,"(ut. patehah, patah) ar. sandhangan ing tulisan arab (baris diatas).",f
fatihah,(ut. petihah) patekah yaiku bêbukane kitab kur'an.,f
fatsal,pasal; kc. fasal.,f
fidah,slaka.,f
fihak,"(ut. pihak) sisih, prênahing ênêr, parte; kc. pihak.",f
fiil,"1 panggawe, patrap, kalakuan; 2 (perkataan nama fi'il) têmbung kriya.",f
fikir,(ut. pikir): pikiran; kc. pikir.,f
filsafah,kc. falsafah.,f
"firasah, firasat","(ut. pirasah, perasat) rai; 'ilmu firasah: kawruh wirasating jalma (nyumurupi wêwatakan sarana nyawang kaananing raine lsp.).",f
firman,"(ut. perman) pangandika, dhawuh.",f
fitnah,"(ut. petenah, pitenah) pitênah, pangala-ala; difitnahkan: dipitênah, diala-ala, dicêcamah, diuman-uman.",f
fitrah,"(ut. peterah, piterah) pitrah.",f
"fuad, foad","ati, pangrasa.",f
fulus,dhuwit.,f
furak,beda.,f
fusta,ar. prau.,f
futur,"lêbar pasa.
--- 54 ---

g",f
gaba-gaba,"1 blarak ut. bongkoking wit sagu dianggo gêdhèg, payon lsp; 2 gêgodhongan dianggo pajangan, tarub lsp.",g
gabai-gabai,bngs. kêmbên sing digawe sangkêlat abang dibludir.,g
gabak,mêndhung.,g
gabas,"groboh, kasar tmr. gêgarapan.",g
gabung,bergabung: nggamblok dadi siji; digabungkan: digamblokake dadi siji.,g
gabus,"i kayu gabus dianggo ngosèk lading lsp; digabus: 1 dikosèk ing gabus tmr. lading lsp, digosok nganggo gabus; 3 dikoroki tmr. bêdhil; penggabus: korok bêdhil (mriyêm). ii ikan gabus: iwak kutuk.",g
gada,gada; gada-gada: piranti dianggo nyumurupi ênêring angin kapasang ing pucuking tiyang.,g
gadai,"gadhe, gadhèn; digadaikan: digadhèkake; gadaian: gadhèn; pegadaian: pagadhean.",g
gadamala,laos; kc. lengkuas.,g
gadang,"i irig, ayakan (kalo) gêdhe. ii (ut. gedang) gêdhe.",g
gading,1 gadhing; 2 ent. panjawating baris; gading-gading: 1 iga-iga ing awak-awaking prau; 2 blêngkêr rodha.,g
gadis,prawan.,g
gaduh,"rame, dêdrêg, gumêdêr; bergaduh: gumêdêr, udrêg; pergaduhan: gegeran, udrêg-udrêgan, drêdah.",g
gaduh riuh,"gumêdêr bangêt, udrêg arame.",g
gaduk,"kumayu, gumagus, sênêng pamèr.",g
gadung,gadhung.,g
gadungan,gadhungan.,g
gaga,"gaga; kc. huma, ladang.",g
gagah,"1 gagah, rosa; 2 (-berani) gagah prakosa, kêndêl; digagahi: 1 dipêksa, dirodapêksa; 2 dikalahake.",g
gagai,menggagai: ngranggèh-ngranggèh.,g
gagak,gagak.,g
gagal,"gagal, cabar, ora olèh gawe.",g
gagang,"gantilan, gagang.",g
gagap,"menggagap: groyok, glagêpan tmr. gunêman.",g
gagau,"digagau: digagapi, digrayahi, digrayangi.",g
gagu,bisu.,g
gah,"kuncara, kamisuwuran; kc. megah.",g
gahar,"digahar: digosok, diangsab.",g
"gahara, gara","1 trahing ngaluhur; 2 babag pêpangkatane ut. darahe; têmênan tmr. bojo ut. anak, up. bini gahara (bojo têmênan, garwa padmi).",g
gahari,sêdhêngan; kc. ugahari.,g
"gaharu, garu",kayu garu (cêndhana).,g
gaib,"ilang, musna, gaib, winadi.",g
gaibana,wong urakan.,g
gaing,cucuking prau.,g
"gairah, gairat","dêrênging ati, pêpenginaning ati.",g
gait,"digait: digèthèl, disènggèt.",g
gajah,"1 gajah; 2 mantri tmr. dolanan catur; ikan gajah, gajah mina: iwak lodan; main gajah (gajah-gajahan) dolanan catur (sêkak).",g
gajah lalang,gajah ingon.,g
gajah menyusu,payon gêdhang salirang.,g
gajai,"digajaikan: diuculake; tergajai: ucul, copot.",g
gaji,"bayar, buruhan; makan gaji: bêburuh; orang gajian: wong bayaran, buruh.",g
gajus,jambu mete.,g
gala,"1 blêndok; 2 sêsambungan; tiada bergala: ora sêsambungan; gala-gala: 1 gala, jabung; 2 bngs. dhêmpul ut. kruwing.",g
galah,"gèntèr, satang; matahari sepenggalah: wayah esuk jam 6-7; matahari dua penggalah: wayah esuk jam 7-8.",g
galah panjang,bngs. dolanan gobag-sodor.,g
galah unjam (-pancang),satang kang ditancêbake dianggo gondhelaning prau.,g
galak,"galak, giras, judhas; digalakkan: digêgalak, digêgasah supaya mêmpêng, digêdhèkake tmr. gêni lsp; penggalak: 1 sarana kang dianggo nggêgalak (mêmpêngake ati lsp); 2 ar. perangane bêdhil kuna.",g
galang,"kayu ganjêl (blenderan, sanggan lsp), cuwak; digalang: 1 diganjêl ut. ditrapi sanggan; 2 diplanggrangake tmr. prau; 3 dicuwak; 4 (ut. digalang-galang) dipalangi, dialang-alangi; galangan:
--- 55 ---",g
galang ganti,"nglabuhi, mbelani.",g
galang têmalang,pêpalang (malang mujur) tumpang tindhih.,g
galas,"gawan sing disunggi (dipanggul lsp); digalas: dipanggul, dipandi, dipunji.",g
"galat, ralat","salah, luputing panulis lsp.",g
galgal,"senggol, grusa-grusu, bêgita-bêgitu.",g
gali,"digali: diduduk(i); galian: dhudhukan, luwangan, pamêlikan; gali-galian: 1 pala kêpêndhêm; 2 pêlikan.",g
galib,"1 kang mênang; 2 lumrah, kaprah; pada galibnya: kang prêlu, kang lumrah, kalumrahane.",g
galih,têtimbangan (padha rupane).,g
galing(-galing),ar. wit (kayu).,g
galir,"ora sêrêt (logro, lodhèg).",g
galu,"digalu: dikalangi, dikêpung.",g
galuh,"sêsotya, intên.",g
galur,"aluran (tmr. prakara, sanak sadulur lsp); susur galur: salasilah; digalurkan: dialurake, dijlèntrèhake.",g
galut,kc. gêlut.,g
gam,"swara gludhug, glêgêr.",g
gamai (-gamai),ar. kayu.,g
gamak,digamak-gamak: 1 diagag-agagi arêp disuduk ut. ditamani gêgaman (up. sarana nyêkêl ukiran diunus sathithik); 2 dikira-kira (kèh-sathithike).,g
gamam,"(ut. tergamam) 1 njêngèr, sumlêngêrên; 2 pêpês.",g
gamang,wêdi; singunên wêdi yèn tiba.,g
gamat,bngs. tripang gêdhe.,g
gambang,gambang.,g
gambar,"gambar; digambar: digambar, dipêtha.",g
gambir,wit gambir.,g
gambuh,1 mêmitran karo wong ala; 2 gambuh (tlèdhèk madura).,g
gambus,gambus bngs. têtabuhan arab.,g
gamis,"rompi, klambi rangkêpan.",g
gamit,"digamit: dijawil (didumuk), ditabuh tmr. crêmpung lsp; gamit-gamitan: kang dirêmbug wong akèh.",g
gampang,gampang.,g
gampar,"digampar: ditêndhang, dikamplêng.",g
gamuh,bngs. kêndhi gogok.,g
gamêlan,gamêlan.,g
gana,tuhan yang gana: allah kang maha cukup.,g
ganal,têtimbangan (padha rupane).,g
ganas,"galak, ringas, judhas.",g
gancang,"rikat, trêngginas, cukat.",g
gancar,mancur.,g
gancu,"ganthol, gèthèl, sènggèt.",g
ganda,"tikêl, têtikêlan; sekali ganda: samono; dua kali ganda: tikêl loro, rong mono; berganda: tikêl-tikêl; digandakan: ditikêlake.",g
ganda berganda,tikêl matikêl.,g
ganda hati,gorèh (ora têtêp) atine.,g
gandan,(gebar gandan) lurub sutra putih nganggo pinggiran ijo.,g
gandapura,wit gandapura.,g
gandar,"1 pikulan, senggotan mawa sanggan ing têngah; 2 tangananing traju, obênganing putêran, indhêning rodha, cacadaning wluku; digandar: dipikul; gandaran: barang kang dipikul.",g
gandariah,wit gandariya.,g
gandarokam,1 ar. wit; 2 gandarukêm.,g
gandarusa,wit gandarusa.,g
gandasuli,wit gandasuli.,g
gandeng,bergandeng: gêgandhengan.,g
gandi,1 bngs. gada; 2 gêndhewa.,g
gandik,rêrênggan ing bathuk tmr. pangantèn wadon (awujud blèbèkan êmas diwangun mlêngkung).,g
gandin,(tukul-) gandhèn.,g
ganding,gandhèng; diganding: disèrèd tmr. prau.,g
gandu,woh gandhu (irêng bangêt).,g
gandum,gandum.,g
gandung,bandhul ing kiwa têngêning awak-awaking prau; digandung: ditrapi bandhul.,g
"gang (-bulat, -rancang)","ar. tatah kuningan [kuning...]
--- 56 ---",g
ganggang,"diganggang: digarang, dipanggang; berganggang: api-api, digaringake ing gêni.",g
ganggu,"diganggu: dibêbeda, dirusuhi, diribêdi, dimunasika; gangguan: rêribêd, rêrusuh; pamunasika lsp.",g
ganggut,"diganggut: dibubut, dibêdhol.",g
gangsa,"i gangsa (prunggu). ii banyak; kc. angsa. iii digangsa: diêlih, diputêr tmr. têtuwuhan lsp.",g
"gani, rani",sugih tmr. allah.,g
"ganih, genih",gadhing gajah wadon.,g
ganir,(inggris gunner) prajurit mriyêman.,g
ganja,i ganja (ing kêris). ii gênje.,g
ganjak,rada modot saka ing wrangka tmr. kêris.,g
ganjal,ganjêl; diganjal: diganjêl.,g
ganjat,"mrêngkêl tmr. otot, bundhêt tmr. bolah lsp.",g
ganjil,"1 ganjil; 2 aèng, anèh.",g
ganjur,"berganjur, mengganjur: maju, nglojok; kc. anjur.",g
gantang,"gantang (1/20 dhacin); digantang: ditakêr nganggo gantang; menggantang asap: nggagas kang neka-neka, (mokal kêlakone).",g
ganti,"i 1 gêgênti, sêsulih; 2 ganti, lêliru, têtêmpuh; 3 (u.[2] pergantian) giliran, dhong; 4 salin; mengganti: ngijoli, nyalini, mbanjêli; berganti: ganti; berganti-ganti: gonta-ganti, salin-salin; ganti berganti: gilir gumanti; digantikan: disulihi, digêntèni; pengganti: 1 gêgênti, sêsulih; 2 têmpuh, lêliru; pergantian: giliran. ii ganthi.",g
gantung,"bergantung: gumantung, gumandhul; digantung: 1 digantung, digandhulake; 2 diundur tmr. prakara lsp.; digantungi: digantungi, digandhuli.",g
gantung kemudi,1 nganggur; 2 ar. pajêg.,g
gantung layar,ar. ganjaran marang wong kang mitulungi wong kacilakan ana ing sagara.,g
ganyah,"diganyah: digêbêg, digosok.",g
ganyut,"mogol, gonyèh.",g
gap,"swara dhog, plok.",g
gapah,kc. gopoh.,g
gapai,"digapai: dijawil, disenggol (kanggo sasmita).",g
gapgup,"dhag-dhug, plak-pluk.",g
gapil,"digapil: disenggol, ditampani lsp. ora disêngaja.",g
gapit,"gapit; digapit: digapit, dicêpit.",g
gapura,pintu gapura: gapura; kc. gêrbang.,g
gar,swara glêgêr.,g
gara,trahing ngaluhur; kc. gahara.,g
garam,uyah; menggaram: gawe uyah; digarami: diuyahi.,g
garang,"1 galak, judhas, giras; 2 senggol, nyênyêngit, bêngis, siya; 3 briga-brigi.",g
garau,"klèrèk-klèrèk, gêdhe tmr. swara.",g
gari,"malau gari: lak, kc. lakeri.",g
garib,"1 wong manca; 2 anèh, ora lumrah.",g
garing,"atos garing (tmr. barang kang digorèng, dibakar lsp).",g
garis,"garit, gèthèt, garis; digaris: digarit, digaris; kayu penggaris: garisan; garis-garis besar: kang baku-baku.",g
garpu,garpu (sendhok porok).,g
garu,kayu garu (cêndhana); kc. gaharu.,g
garuda,manuk garudha.,g
