Indonesia,Javanese,Alphabet
air bah (-sebak),banjir.,a
air batu (-beku),ès.,a
air mata,luh.,a
air muka,1 pasêmoning praean; 2 ent. pakurmatan.,a
air rasa,banyu rasa.,a
air timah,prusi.,a
air têrjun (-lata),grojogan.,a
ajab,gumun.,a
ajab,siksa; kc. 'azab.,a
ajaib,"gumun, nggumunake, anèh.
--- 9 ---",a
ajak,"diajak: 1 diajak; 2 diajani, digugah atine.",a
ajal,"1 wangênan, watêsing urip; 2 (sampai ajalnya) mati.",a
ajam,pèrsi.,a
ajar,"i piwulang; belajar: sinau, ajar, gladhi, nggêgulang; dipelajari: disinau, digêgulang; diajari: 1 diwulang, diajari; 2 disrêngêni; pelajar: murid; pelajaran: piwulang, pasinaon; terpelajar: (wong) pintêr, wêton sêkolahan dhuwur (têngahan); pengajar: pamulang, guru; pengajaran: wulangan, pasinaon, piwulang. ii ut. ajar-ajar: ajar (pandhita tapa).",a
aji,"i mengaji: ngaji; pengajian: piwulang, wulangan ngaji, carane ngaji. ii sang aji, ratu.",a
ajnas,warna-warna; kc. jenis.,a
"ajujah, ajujat","ngala-ala, nyatur ala.",a
ajuk,"i diajuk(i), diajuk (ajuk)- kan: ditirokake saparipolahe prêlu dianggo gêguyon, nyênyamah lsp. ii diajuk: dijajagi, kc. duga.",a
ajun,"1 tujuan, maksud; 2 nylewar (nggiwar) adoh saka kang diêlês; diajun, diênêr, dituju.",a
akad,"prajanjian, layang pikukuh.",a
akal,"1 nalar, reka; 2 (-budi) pikiran, budi kang bênêr; 3 akal, kajuligan; ber'akal: sugih akal, pintêr; masuk'akal: kêtêmu nalar; di'akali: diakali, diapusi.",a
akan,"1 mungguh ing, tumrap ing; 2 minangka dadi, kanggo ing; 3 marang, mênyang; 4 bakal, arêp; akan tetapi: ananging; seakan-akan: kayadene, mèh kaya.",a
akar,"1 oyod, oyod-oyodan; 2 uga dianggo araning têtuwuhan rambat warna-warna; berakar: ngoyod.",a
akar bahar,akar bahar.,a
akar mati,sulur.,a
akar wangi,larasètu.,a
akas,"i cukat, trêngginas. ii ut. akasa: awang-awang.",a
akas,kosokbalèn.,a
akasa,awang-awang.,a
akat,kc. akad.,a
akbar,"gêdhe, agung.",a
akekah,slamêtan ngêthok rambut bayi.,a
akhbar,(layang-) kabar.,a
akhir,"1 wusana, pungkasan; 2 têmbe buri; berakhir: kêpungkur, rampung; diakhirkan: dikèrèkake, disumênèkake; akhiran: panambang.",a
akhirat,ngakerat.,a
akhirulkalam,"panutuping atur, ing wasana.",a
aki,"to'aki, aki-aki: kaki, êmbah lanang.",a
akibat,"kawusanane, têmahane, kadadeyane.",a
akik,akik.,a
akik,bngs. kima.,a
akil balig,wis diwasa.,a
akmal,maha sampurna.,a
akrab,urang.,a
akrab,"rakêt pamitrane, sanak sadulur.",a
aksara,aksara.,a
aksi,1 tandang; 2 pratingkah.,a
aku,"aku; beraku: nganggo têmbung aku; mengaku: ngaku, nyanggêmi, ngandhêmi; diakui: diakoni, diaku, dianggêp; akuan: kang wis diakoni.",a
akuk,terakuk: nglêntuk.,a
akur,"cocog, mupakat.",a
akus,cis; kc. angkus.,a
ala,'ala kadarnya: miturut sakuwasane.,a
ala,maha luhur.,a
alabangka,linggis.,a
alah,kalah; dialahkan: dikalahake.,a
alahan,"bêndungan, suwakan.",a
alai,pête.,a
alaihissalam,kaslamêtan ana ing dhèwèke.,a
alaikum assalam,kaslamêtan ana ing kowe.,a
"alal-bahalal, alalbihalal",apura ingapura ing nalika lêbaran.,a
alam,"waskitha, wêruh ing sakabèhe.",a
alam,"dialami: dialami; pengalaman: kupiya, pangalaman.",a
alam,"i 1 alam, jagad saisine; 2 krajan gêdhe. ii gêndera.",a
alamang,lamêng.,a
alamas,intên.,a
alamat,"i têtêngêr, tandha, ngalamat, sasmita; 2 adrês; 3 gêndera; di'alamatkan: dingalamati marang. ii luhur, mulya, kuncara, sêmuwa.",a
alan,"pariwara.
--- 10 ---",a
alan-alan,badhut.,a
alang,"i alang, palang, malang; alangan: 1 nusa kang malang ing sungapan lsp; 2 palang; 3 pêpalang, alangan. ii sapele, ora sapiraa; alangkah: saiba, mendah iba; alang-kepalang: sathithik bangêt; bukan alang kepalang: bangêt, kêluwih-luwih.",a
alang-alang,alang-alang.,a
